NAME,USERNAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,CHANNEL
Afghanistan_You_Never_See 🇦🇫 ,afghanistan_you_never_see,3300.0,0.27,Afghanistan,nature,999.0,threads
Didi Beauty Co. ,didibeautyco,3200.0,0.18,Afghanistan,beauty self care product showcase,945.0,threads
Ayeda Shadab ,ayeda.shadab,2400.0,4.33,Afghanistan,fashion accessories business,705.0,threads
Delpiero Salazar ,delpierosalazar,2200.0,0.14,Afghanistan,entertainment music,672.0,threads
افغان ,afghanfunnygags,1600.0,0.4,Afghanistan,entertainment music funny,486.0,threads
Afsar Zazai ,afsar_zazai_78,1600.0,1.03,Afghanistan,sports,465.0,threads
Badri malayeri ,badrihematyar,1500.0,0.83,Afghanistan,entertainment music comedy,447.0,threads
Danish Nazari ,deeesinterlude,1200.0,0.92,Afghanistan,life society,366.0,threads
ANNatnatcha36. AF . TheVoice . ,annatnatcha,1100.0,0.59,Afghanistan,entertainment music beauty self care,318.0,threads
Rotana ,UCNhqvQMXIgRfjAGmxQqdNRw,19700000.0,0.1,Saudi Arabia,music,5900000.0,youtube
TURKI ALALSHIKH تركي آل الشيخ ,turkialalshik,17900000.0,3.08,Saudi Arabia,celebrity gym modeling,5400000.0,instagram
أحمد الشقيري ,ahmadalshugairi,17600000.0,0.41,Saudi Arabia,education tv host,5300000.0,instagram
أخبار السعودية ,saudinews50,13900000.0,0.1,Saudi Arabia,education life and society news news politics,4200000.0,instagram
ميتو الشامسي | Mohammed Shamsi ,imeeto,8700000.0,1.88,Saudi Arabia,entertainment and music funny celebrity game,2600000.0,instagram
Fifi Abdou ,fifiabdouofficial,8500000.0,0.21,Saudi Arabia,art modeling,2600000.0,instagram
thoriq halilintar ,thariqhalilintar,7900000.0,1.18,Saudi Arabia,entertainment and music celebrity video blogger,2400000.0,instagram
شيمي 🎼. ,sheme._.a,6900000.0,0.44,Saudi Arabia,music lifestyle humor film music books,2100000.0,instagram
Aseel | أسيل 🇸🇦 ,aseel,6700000.0,0.26,Saudi Arabia,acting and drama beauty and self care celebrity singer,2000000.0,instagram
Ola Al Fares ⚖️ عُلا الفارس ,olaalfares,6700000.0,0.47,Saudi Arabia,education,2000000.0,instagram
Top Saudia ,mi.2v,6200000.0,0.41,Saudi Arabia,business and finance funny,1900000.0,instagram
Shraddha Arya ,sarya12,5800000.0,2.53,Saudi Arabia,upskilling celebrity actors modeling,1800000.0,instagram
عُمر آل عوضه | Omar Al Odah ,bin_odahx,5800000.0,1.34,Saudi Arabia,life and society writers,1700000.0,instagram
ابو ملك ,r.mjrm,5700000.0,0.46,Saudi Arabia,modeling,1700000.0,instagram
,dj4,5500000.0,0.03,Saudi Arabia,celebrity celebrities game cars motorcycles,1700000.0,instagram
Abdulaziz ,bin_baz,5200000.0,0.1,Saudi Arabia,fitness fashion soccer architecture,1600000.0,instagram
,elfiraloy,5100000.0,0.3,Saudi Arabia,fashion and accessories business and finance public figure,1500000.0,instagram
د. ملاك الحسيني ,malak_alhusaini,4600000.0,0.15,Saudi Arabia,education marketing and advertising hair beauty celebrities,1400000.0,instagram
Hisham Baeshen - هشام باعشن ,misho_baeshen,4600000.0,0.14,Saudi Arabia,food,1400000.0,instagram
Darin Al Bayed • دارين البايض ,darin00013,4100000.0,0.04,Saudi Arabia,beauty fashion and accessories beauty and self care celebrity,1200000.0,instagram
أحمد الزامل Ahmad AlZamel ,ahmadalzamel,4100000.0,0.17,Saudi Arabia,food food and drink chef,1200000.0,instagram
فايز المالكي ,fayezalmal,4100000.0,0.1,Saudi Arabia,acting and drama celebrity modeling,1200000.0,instagram
احمد شعيب ahmad Shoaib ,ahmed_shoaib_,4100000.0,0.13,Saudi Arabia,celebrity modeling,1200000.0,instagram
نوف فاشن | نوف الشعلان ,nouf__fashion,4000000.0,0.08,Saudi Arabia,fashion and accessories beauty and self care,1200000.0,instagram
Rajeh Alharthi | راجح الحارثي ,rajeh_90,4000000.0,0.01,Saudi Arabia,entertainment and music lifestyle,1200000.0,instagram
Dyler 🥖 ,dyl3r,3800000.0,6.23,Saudi Arabia,art,1100000.0,instagram
الشيخ الدكتور عثمان الخميس ,othmanalkamees,3800000.0,0.35,Saudi Arabia,education medical health politics,1100000.0,instagram
مقاطع ناصر 😂😂 ,nasser_videos,3800000.0,0.07,Saudi Arabia,entertainment and music music singer modeling,1100000.0,instagram
Nora Bo Awadh NB ,nora1352,3700000.0,0.35,Saudi Arabia,fashion and accessories business,1100000.0,instagram
مشعل الاسباني ,m000966,3700000.0,0.07,Saudi Arabia,fashion,1100000.0,instagram
دكتور نشمي ضحك ,of77,3600000.0,0.57,Saudi Arabia,funny,1100000.0,instagram
Nandi_Madida 🇿🇦 ,nandi_madida,3500000.0,0.64,Saudi Arabia,entertainment and music fashion and accessories celebrity entertainment,1000000.0,instagram
الربع ... صديق الكل ,rbaa33,3500000.0,2.26,Saudi Arabia,diy and life hacks education upskilling lifestyle,1000000.0,instagram
S7S 👌🏼 سحس ,hussain.sallam,3300000.0,0.19,Saudi Arabia,entertainment and music business and finance food restaurants,992700.0,instagram
الفنان عبدالعزيز المسلَّمْ ,azizalmesallam,3300000.0,0.47,Saudi Arabia,acting and drama,990500.0,instagram
رياض الخالد 🍴 ,rodr_1997,3300000.0,0.12,Saudi Arabia,food lifestyle,979700.0,instagram
Majid Almohandis ماجد المهندس. ,majidalmohandis,3300000.0,1.0,Saudi Arabia,entertainment and music singer,978900.0,instagram
Abdullah Bakr | عبدالله بكر ,boodyzozo,3200000.0,0.38,Saudi Arabia,beauty and self care fashion and accessories film music books humor,962700.0,instagram
ابراهيم الحجاج ,barmz_alhajjaj,3100000.0,3.44,Saudi Arabia,celebrity acting and drama,941400.0,instagram
لغة الجسد ,b.d.f,3000000.0,0.03,Saudi Arabia,education upskilling life and society,904000.0,instagram
مطبخ مرايم // طبخات سهله ,mraaaim444,3000000.0,0.03,Saudi Arabia,food,899800.0,instagram
فؤاد عبدالواحد ,fouadabdulwahed,3000000.0,0.22,Saudi Arabia,entertainment and music music singer,897800.0,instagram
ريناد ,h6.yr,3000000.0,3.66,Saudi Arabia,auto and vehicles celebrity chickens,889600.0,instagram
Andre Carrillo 🇵🇪 ,18andrecarrillo,3000000.0,1.5,Saudi Arabia,actors virtualization,887400.0,instagram
د. نبيل علي العوضي ,nabilalawadhy,2900000.0,0.38,Saudi Arabia,education speaker,858100.0,instagram
اطيب طبخة - atyabtabkha ,atyabtabkha,2800000.0,0.03,Saudi Arabia,food home and garden recipes,846100.0,instagram
هيفاء حسين haifa hussain ,haifaahussain1,2800000.0,0.19,Saudi Arabia,celebrity acting and drama actors,825600.0,instagram
سارا الودعاني ,sarah_wad3ani,2700000.0,0.11,Saudi Arabia,beauty and self care cars motorcycles film music books celebrities,814100.0,instagram
Nahla نهلة ✨ ,nahlatv,2700000.0,5.23,Saudi Arabia,entertainment and music music,804000.0,instagram
✨ سعودي ريبورترز ✨ ,saudireporters,2600000.0,0.23,Saudi Arabia,entertainment and music tv shows modeling film music books,771400.0,instagram
Mutlaq | مطلق ,mutlaq_alsultan,2600000.0,0.68,Saudi Arabia,marketing and advertising lifestyle,766100.0,instagram
بلوقر افنانيتا afnaneta 🥣🥑 ,afnaneta3,2500000.0,0.17,Saudi Arabia,art beauty,764600.0,instagram
Alice ,aliceabdelaziz,2500000.0,2.17,Saudi Arabia,travel modeling lifestyle hair beauty,760700.0,instagram
هتان الفيصل ,iih66,2500000.0,0.6,Saudi Arabia,music,748200.0,instagram
ثنيان خالد || Thunayyan Khalid ,thunayyan16,2500000.0,1.55,Saudi Arabia,finance,741900.0,instagram
رهف العنزي ,official.rahaf,2500000.0,0.42,Saudi Arabia,art actors,741800.0,instagram
غرام || الصفحة الرسميّة ,gharam_official,2500000.0,2.11,Saudi Arabia,life and society politics,738900.0,instagram
Mansour AlSalmy - منصور السالمي ,m.alsalmy1,2400000.0,0.73,Saudi Arabia,education,721300.0,instagram
حمود الخضر Humood ,humoodalkhudher,2400000.0,0.92,Saudi Arabia,entertainment and music,717900.0,instagram
زياد العمري Ziyad Alamri ,zyiaz,2400000.0,0.13,Saudi Arabia,entertainment and music humor film music books design,717800.0,instagram
فوراس التركي | Foras Altruki ,foras1,2400000.0,0.09,Saudi Arabia,product showcase celebrity entertainment,713500.0,instagram
Omar Al Somah ⚽️ عمر السومة ,somah,2300000.0,3.31,Saudi Arabia,sports soccer,703100.0,instagram
زينة عماد | zena emad ,zenaemaad,2300000.0,1.03,Saudi Arabia,music,689000.0,instagram
🇸🇦موسوعة المعجنات والمخبوزات ,ftafeeta,2300000.0,0.06,Saudi Arabia,food,679600.0,instagram
شيماء سبت Shaima Sabt ,shaima4sabt,2200000.0,0.07,Saudi Arabia,acting and drama celebrity,661400.0,instagram
احمد البارقي ,aax66,2200000.0,0.37,Saudi Arabia,fashion lifestyle,657900.0,instagram
Faten Mahmoud/فاتن محمود ,fatenuser,2200000.0,0.09,Saudi Arabia,food celebrity,648100.0,instagram
رند الشهيلي Rand Alshehili ,rand_hamad1,2100000.0,0.31,Saudi Arabia,auto and vehicles celebrity music marketing and advertising,643900.0,instagram
RAKAN SULIMAN ,rakan,2100000.0,0.13,Saudi Arabia,entertainment and music video blogger humor celebrities,637100.0,instagram
Mohammed Al Turki ,moalturki,2100000.0,2.0,Saudi Arabia,fashion,634600.0,instagram
Hamdy | حمدي الفريدي ,hamdy_s,2100000.0,0.41,Saudi Arabia,education upskilling celebrity lifestyle,628400.0,instagram
Joe Raad Raad ,joeraad,2100000.0,0.2,Saudi Arabia,music,626000.0,instagram
Dr.Talal Almuhaisin د.طلال المحيسن ,dr_jeldeya,2100000.0,0.27,Saudi Arabia,beauty and self care doctor,618200.0,instagram
Salem Al Dawsari ,29salem,2100000.0,3.97,Saudi Arabia,sports soccer,617500.0,instagram
اقوال ابراهيم الفقي رحمه الله ,ibrahemelfiky,2000000.0,0.14,Saudi Arabia,education upskilling parenting,612600.0,instagram
وعد محمد ⚜️ ,dso,2000000.0,0.26,Saudi Arabia,acting and drama entertainment and music celebrity music,606000.0,instagram
Muslim ,muslimprodofficial,2000000.0,0.78,Saudi Arabia,entertainment and music music,605400.0,instagram
Mohammed Sal | محمد سال ,moasalem,2000000.0,0.15,Saudi Arabia,food entertainment and music film music books humor,604900.0,instagram
Mohammed Almousa محمد الموسى ,m_almousa399,2000000.0,0.03,Saudi Arabia,beauty modeling entertainment,600300.0,instagram
وجدان محمد Wejdan Mohammad ,wejdan_mohammad_1,2000000.0,1.81,Saudi Arabia,food,600300.0,instagram
Eleen Suliman | الين سليمان 🇸🇦 ,eleen_su,2000000.0,0.28,Saudi Arabia,fashion and accessories beauty and self care,599200.0,instagram
Syafiq Riza Basalamah ,syafiqrizabasalamah_official,2000000.0,0.39,Saudi Arabia,education,596500.0,instagram
The Moshaya Family ,mmoshaya,2000000.0,0.27,Saudi Arabia,family celebrity,592500.0,instagram
م.عبدالعزيز العقلا ,3zoqla,2000000.0,0.14,Saudi Arabia,celebrity,589900.0,instagram
Aya Fawzy | ايه فوزى ,ayafwzy,2000000.0,0.95,Saudi Arabia,beauty and self care family travel,589600.0,instagram
Kooora.com ,kooora,328400.0,0.25,Saudi Arabia,sports,98500.0,threads
SHASHTARI TWINS 👬 ,shashtaritwinss,195000.0,0.84,Saudi Arabia,family,58500.0,threads
ArabWood ,arabwoodtv,183800.0,0.38,Saudi Arabia,entertainment music,55100.0,threads
S7S👌🏻سحس ,hussain.sallam,167200.0,0.25,Saudi Arabia,entertainment music,50200.0,threads
GOAL Arabia ,goalarabia,163400.0,0.35,Saudi Arabia,personal blog,49000.0,threads
شيف عمر CHEF OMAR ,chef1omar,142400.0,0.67,Saudi Arabia,food,42700.0,threads
Tareq Al-Harbi ,6ar8o,138100.0,0.25,Saudi Arabia,arts crafts,41400.0,threads
ALEX ,alexanderuloom,126000.0,1.87,Saudi Arabia,entertainment music,37800.0,threads
Mohammad Nabeel ,m_nabil79,105600.0,1.36,Saudi Arabia,entertainment music,31700.0,threads
Salam Katanani • سلام قطناني ,salamkatanani,97300.0,1.32,Saudi Arabia,science business,29200.0,threads
Celebs Arabic ,celebsarabicnet,69600.0,0.38,Saudi Arabia,entertainment music,20900.0,threads
KFC Arabia ,kfcarabia,67100.0,0.17,Saudi Arabia,food,20100.0,threads
Saudi Gamer - سعودي جيمر ,saudigamer,67000.0,0.2,Saudi Arabia,animation cosplay games,20100.0,threads
XZIT ,xzit_thamer,64900.0,0.23,Saudi Arabia,games,19500.0,threads
مكتبة جرير السعودية ,jarirbookstore,62900.0,0.1,Saudi Arabia,education,18900.0,threads
Shereen Anwar شيرين أنور ,shereen.anwarr,51600.0,0.21,Saudi Arabia,fashion accessories,15500.0,threads
A⃨l⃨a⃨n⃨o⃨u⃨d⃨ B⃨a⃨d⃨r⃨ • العنود بدر ,fozaza,51400.0,0.31,Saudi Arabia,fashion accessories,15400.0,threads
Nader Alqalaa | نادر القلعة ,itec.talk,50400.0,0.37,Saudi Arabia,education,15100.0,threads
جم نادز ,gymnadz,48200.0,0.06,Saudi Arabia,fitness health,14500.0,threads
Waleed Al Sebaie وليد السباعي ,waleedalsebaei,45000.0,0.3,Saudi Arabia,entertainment music,13500.0,threads
Hana | هانا 🇸🇦🇬🇧 ,itsalwayshana,44100.0,0.08,Saudi Arabia,education life society,13200.0,threads
Dakar Rally ,dakarrally,42900.0,0.17,Saudi Arabia,auto and vehicles sports,12900.0,threads
أفنان الجوهر ,fno_algohr,41900.0,0.88,Saudi Arabia,entertainment music fashion accessories,12600.0,threads
CNBC Arabia ,cnbcarabiatv,41800.0,0.06,Saudi Arabia,finance education,12500.0,threads
Telfaz11 تلفاز١١ ,telfaz11,41700.0,0.55,Saudi Arabia,entertainment music,12500.0,threads
Chefman | تيمور الموج ,taimourmauge,41500.0,0.54,Saudi Arabia,travel,12500.0,threads
Amal Abdulghafoor Albalooshi ,amal_albalooshi,41500.0,0.42,Saudi Arabia,arts crafts,12400.0,threads
Haya Sawan®هيا صوان 🇸🇦 ,hayasawan_official,39500.0,0.48,Saudi Arabia,fitness health,11900.0,threads
طوركي وعبدالله ✨ | ABDULLAH ALGHAMDI ,trke_m,39500.0,0.94,Saudi Arabia,entertainment music funny,11900.0,threads
جودي سكيت | Jode Skate ,1jode,39300.0,0.25,Saudi Arabia,sports,11800.0,threads
عبدالله | ملزلز ,m5aoi,38800.0,6.57,Saudi Arabia,education games,11700.0,threads
Fahad فهد السالم ,fhedan_s,37400.0,0.74,Saudi Arabia,beauty self care,11200.0,threads
Zainab Alblushi زينب البلوشي 🇸🇦🇰🇷 ,zainab.alblushi,37300.0,1.61,Saudi Arabia,beauty self care,11200.0,threads
Majed Alzaabi ماجد الزعابي ,majedphotos,36300.0,0.18,Saudi Arabia,nature photography,10900.0,threads
IBRAHIM SALEH | ابراهيم صالح ,ibrahim_86,34600.0,0.13,Saudi Arabia,product showcase,10400.0,threads
3a2ilati | عائلتي ,3a2ilati,34500.0,0.06,Saudi Arabia,family,10400.0,threads
Sadia Mansoor ,sadiaslayy,34100.0,0.24,Saudi Arabia,beauty self care education,10200.0,threads
see | عربي ,seeonar,34000.0,0.03,Saudi Arabia,entertainment music,10200.0,threads
تريدنق | FIFA 23 ⚽️🎮 ,ultimete_team_trading,33500.0,0.19,Saudi Arabia,finance,10000.0,threads
Abdullah Jamil | عبدالله جميل ,abdoh4magic,32900.0,0.73,Saudi Arabia,entertainment music,9900.0,threads
Bader Saleh ,bidzsaleh,31400.0,0.55,Saudi Arabia,entertainment music,9400.0,threads
LEEN ,the_trendyfashion,29800.0,0.02,Saudi Arabia,fashion accessories,8900.0,threads
alooytv | مسلسلات خليجية ,muslslat22,28700.0,0.17,Saudi Arabia,entertainment music,8600.0,threads
علي باشا Ali Basha ,bashacook.ar,28400.0,0.1,Saudi Arabia,food,8500.0,threads
فلاورد | Floward ,flowardco,28200.0,0.08,Saudi Arabia,gifts flowers,8500.0,threads
Bader Hakeem | بدر حكيم ,bader_hakeem,27800.0,1.39,Saudi Arabia,entertainment music,8300.0,threads
عبدالعزيز الصميلي 🇸🇦 ,azizsamily,27700.0,0.82,Saudi Arabia,entertainment music,8300.0,threads
ماكدونالدز 🇸🇦وسطى/شرقية/شمالية ,mcdonaldsksa,27700.0,0.05,Saudi Arabia,food,8300.0,threads
‏النادي الأهلي السعودي ,alahliclub.sa,27200.0,2.18,Saudi Arabia,sports,8200.0,threads
FAISAL BANDAR ,fai36b,26500.0,1.65,Saudi Arabia,life society,7900.0,threads
Mahmoud Faisal ,m.f85,26400.0,0.2,Saudi Arabia,auto and vehicles,7900.0,threads
sarahdundarawy سارة دندراوي ,sarahdundarawy,25500.0,0.3,Saudi Arabia,entertainment music education,7600.0,threads
Aajeedh Khaliq ,aajeedh_khalique,25400.0,0.32,Saudi Arabia,entertainment music,7600.0,threads
المدرج الذهبي ,almdrj_althahbi,25100.0,0.35,Saudi Arabia,entertainment music,7500.0,threads
AnmarFit - انمار فت ,anmarfit,24900.0,0.2,Saudi Arabia,fitness health,7500.0,threads
دانكن السعودية ,dunkindonutsksa,24900.0,0.27,Saudi Arabia,food,7500.0,threads
حسين الحريبي ,7uss.n,23900.0,0.86,Saudi Arabia,funny life society,7200.0,threads
sama jaad | سما جاد ,sama_jaad,23300.0,0.2,Saudi Arabia,food,7000.0,threads
الهدايا سنتر | Alhadaya Center ,alhadayacenter,22900.0,0.23,Saudi Arabia,education,6900.0,threads
مشاريع السعودية Saudi Projects ,saudiprojects,21000.0,0.08,Saudi Arabia,finance,6300.0,threads
KHALID ALOLAYAN 🇸🇦🐪 ,al3lyan15,20700.0,0.7,Saudi Arabia,sports,6200.0,threads
RT Online ,rtonline_ar,20600.0,0.18,Saudi Arabia,auto and vehicles,6200.0,threads
Karim Mesallam ,karim_mesallam,20500.0,0.24,Saudi Arabia,photography,6200.0,threads
Eyad Tannous اياد طنوس ,eyadtannos,20100.0,0.31,Saudi Arabia,art crafts,6000.0,threads
Safa ,safa.hasniharcha,19800.0,0.7,Saudi Arabia,education,5900.0,threads
MOKAB | مكعب ,mokabstore,19600.0,0.42,Saudi Arabia,product showcase,5900.0,threads
Moe زين ,moezeindtb,19600.0,0.04,Saudi Arabia,entertainment music,5900.0,threads
Dana Halabi - دانا حلبي ,danahalabiworld,19200.0,0.18,Saudi Arabia,entertainment music education arts crafts,5800.0,threads
abo_qamae ,abo_qamae,19000.0,1.64,Saudi Arabia,entertainment music,5700.0,threads
Lexus KSA | لكزس السعودية ,lexusksa,18800.0,0.15,Saudi Arabia,auto and vehicles,5600.0,threads
أنس الدوسري ,bro..anas,3100000.0,1.1,Saudi Arabia,upskilling,930000.0,tiktok
Anasala Family ,anasalafam,3000000.0,0.3,Saudi Arabia,family entertainment and music,900000.0,tiktok
اسامه الدغيري ,shx777,2500000.0,0.2,Saudi Arabia,pets,750000.0,tiktok
Ayman Alatas ,aymanalts,2000000.0,1.4,Saudi Arabia,education,600000.0,tiktok
Thoraya Maronesy ,thor.aya,1600000.0,0.2,Saudi Arabia,entertainment and music,480000.0,tiktok
رواف ,rawaf_sa,1400000.0,0.1,Saudi Arabia,entertainment and music,420000.0,tiktok
احمد بن هشام 🇸🇦🗣 . ,x_a7mad16,1400000.0,0.2,Saudi Arabia,entertainment and music,420000.0,tiktok
Safiya khan ,safiakhan90,1300000.0,0.3,Saudi Arabia,arts and crafts,390000.0,tiktok
عائلة ابو دانة 👨‍👩‍👧‍👧 ,danh_505,1100000.0,0.1,Saudi Arabia,family romance and wedding,330000.0,tiktok
سعد السعيد ,s5s5_3,1100000.0,0.1,Saudi Arabia,life and society,330000.0,tiktok
